
. Module name, ATOMS, SHARED ARITHMATIC MODE, COMB ARITHMETIC MODE, REGISTERS, SYNC RAMS, MACs
. fm_radio_top, 3304, 121, 2155, 3470, 20, 31
.	. fm_radio, 3125, 121, 2114, 2562, 16, 31
.	.	. add_sub, 69, 0, 65, 65, 0, 0
.	.	. channel_fir_pair, 490, 0, 170, 252, 0, 2
.	.	.	. fir_32s_32s_48s_20s_1s_10s_1s_5s_Z1_2, 244, 0, 85, 127, 0, 1
.	.	.	.	. syn_mlab, 0, 0, 0, 0, 0, 0
.	.	.	. fir_32s_32s_48s_20s_1s_10s_1s_5s_Z1_2_0, 244, 0, 85, 125, 0, 1
.	.	.	.	. syn_mlab_0, 0, 0, 0, 0, 0, 0
.	.	. demod_axis_wrap, 409, 57, 603, 373, 0, 8
.	.	.	. demod, 405, 57, 603, 349, 0, 8
.	.	.	.	. seq_divider, 118, 0, 54, 155, 0, 0
.	.	. fir_fifo_wrap_32s_32s_48s_32s_1s_10s_Z5, 238, 0, 85, 127, 0, 1
.	.	.	. fir_32s_32s_48s_32s_1s_10s_1s_5s_Z4, 238, 0, 85, 127, 0, 1
.	.	.	.	. syn_mlab_2, 0, 0, 0, 0, 0, 0
.	.	. fir_fifo_wrap_32s_32s_48s_32s_1s_10s_Z7, 247, 0, 85, 127, 0, 1
.	.	.	. fir_32s_32s_48s_32s_1s_10s_1s_5s_Z6, 247, 0, 85, 127, 0, 1
.	.	.	.	. syn_mlab_3, 0, 0, 0, 0, 0, 0
.	.	. fir_fifo_wrap_32s_32s_48s_32s_1s_10s_Z9, 278, 0, 85, 125, 0, 1
.	.	.	. fir_32s_32s_48s_32s_1s_10s_1s_5s_Z8, 278, 0, 85, 125, 0, 1
.	.	.	.	. syn_mlab_4, 0, 0, 0, 0, 0, 0
.	.	. fir_fifo_wrap_32s_32s_48s_32s_8s_10s_Z3_2, 220, 0, 85, 128, 0, 1
.	.	.	. fir_32s_32s_48s_32s_8s_10s_3s_5s_Z2_1, 220, 0, 85, 128, 0, 1
.	.	.	.	. syn_mlab_1, 0, 0, 0, 0, 0, 0
.	.	. fir_fifo_wrap_32s_32s_48s_32s_8s_10s_Z3_2_0, 246, 0, 85, 128, 0, 1
.	.	.	. fir_32s_32s_48s_32s_8s_10s_3s_5s_Z2_1_0, 246, 0, 85, 128, 0, 1
.	.	.	.	. syn_mlab_5, 0, 0, 0, 0, 0, 0
.	.	. iir_32s_32s_2s_10s_64s_Z10_2, 102, 32, 165, 104, 0, 3
.	.	. iir_32s_32s_2s_10s_64s_Z10_2_0, 104, 32, 165, 104, 0, 3
.	.	. mult_gain_32s_10s_0s, 35, 0, 88, 35, 0, 3
.	.	. mult_gain_32s_10s_0s_1, 88, 0, 88, 4, 0, 3
.	.	. mult_gain_32s_10s_4s, 37, 0, 55, 32, 0, 2
.	.	. mult_gain_32s_10s_4s_1, 37, 0, 55, 32, 0, 2
.	.	. sync_fifo_32s_128s_7s_1, 39, 0, 16, 73, 1, 0
.	.	. sync_fifo_32s_128s_7s_17, 20, 0, 16, 56, 1, 0
.	.	. sync_fifo_32s_128s_7s_17_0, 20, 0, 16, 56, 1, 0
.	.	. sync_fifo_32s_128s_7s_17_1, 24, 0, 9, 53, 1, 0
.	.	. sync_fifo_32s_128s_7s_17_10, 49, 0, 9, 16, 1, 0
.	.	. sync_fifo_32s_128s_7s_17_11, 49, 0, 16, 55, 1, 0
.	.	. sync_fifo_32s_128s_7s_17_12, 49, 0, 9, 29, 1, 0
.	.	. sync_fifo_32s_128s_7s_17_2, 22, 0, 16, 61, 1, 0
.	.	. sync_fifo_32s_128s_7s_17_3, 19, 0, 16, 56, 1, 0
.	.	. sync_fifo_32s_128s_7s_17_4, 66, 0, 16, 88, 1, 0
.	.	. sync_fifo_32s_128s_7s_17_5, 18, 0, 16, 55, 1, 0
.	.	. sync_fifo_32s_128s_7s_17_6, 51, 0, 16, 88, 1, 0
.	.	. sync_fifo_32s_128s_7s_17_7, 21, 0, 16, 56, 1, 0
.	.	. sync_fifo_32s_128s_7s_17_8, 18, 0, 16, 55, 1, 0
.	.	. sync_fifo_32s_128s_7s_17_9, 11, 0, 16, 49, 1, 0
.	.	. sync_fifo_32s_128s_7s_2, 47, 0, 16, 80, 1, 0
.	. sync_fifo_32s_128s_7s, 47, 0, 9, 73, 1, 0
.	. sync_fifo_32s_128s_7s_0, 49, 0, 16, 79, 1, 0
.	. sync_fifo_64s_128s_7s, 83, 0, 16, 153, 2, 0
