
. Module name, ATOMS, ARITHMETIC MODE, REGISTERS, SYNC RAMS, MACs
. fm_radio_top, 2590, 0, 8896, 19, 30
.	. fm_radio, 2389, 0, 8240, 16, 30
.	.	. add_sub, 133, 0, 65, 0, 0
.	.	. channel_fir_pair, 130, 0, 1271, 0, 0
.	.	.	. fir_32s_32s_48s_20s_1s_10s_1s_Z1, 66, 0, 636, 0, 0
.	.	.	. fir_32s_32s_48s_20s_1s_10s_1s_Z1_0, 64, 0, 635, 0, 0
.	.	. demod_axis_wrap, 875, 0, 573, 0, 14
.	.	.	. demod, 872, 0, 549, 0, 14
.	.	.	.	. seq_divider, 124, 0, 122, 0, 0
.	.	. fir_fifo_wrap_32s_32s_48s_32s_1s_10s_Z5, 1, 0, 954, 0, 0
.	.	.	. fir_32s_32s_48s_32s_1s_10s_1s_Z4, 1, 0, 954, 0, 0
.	.	. fir_fifo_wrap_32s_32s_48s_32s_1s_10s_Z7, 65, 0, 1019, 0, 0
.	.	.	. fir_32s_32s_48s_32s_1s_10s_1s_Z6, 65, 0, 1019, 0, 0
.	.	. fir_fifo_wrap_32s_32s_48s_32s_1s_10s_Z9, 65, 0, 1020, 0, 0
.	.	.	. fir_32s_32s_48s_32s_1s_10s_1s_Z8, 65, 0, 1020, 0, 0
.	.	. fir_fifo_wrap_32s_32s_48s_32s_8s_10s_Z3, 67, 0, 1023, 0, 0
.	.	.	. fir_32s_32s_48s_32s_8s_10s_3s_Z2, 67, 0, 1023, 0, 0
.	.	. fir_fifo_wrap_32s_32s_48s_32s_8s_10s_Z3_0, 70, 0, 1023, 0, 0
.	.	.	. fir_32s_32s_48s_32s_8s_10s_3s_Z2_0, 70, 0, 1023, 0, 0
.	.	. iir_32s_32s_2s_10s_64s_Z10, 35, 0, 130, 0, 0
.	.	. iir_32s_32s_2s_10s_64s_Z10_1, 35, 0, 130, 0, 0
.	.	. mult_gain_32s_10s_0s, 67, 0, 52, 0, 8
.	.	. mult_gain_32s_10s_0s_1, 135, 0, 70, 0, 8
.	.	. mult_gain_32s_10s_4s, 32, 0, 59, 0, 0
.	.	. mult_gain_32s_10s_4s_1, 32, 0, 59, 0, 0
.	.	. sync_fifo_32s_128s_7s_1, 85, 0, 80, 1, 0
.	.	. sync_fifo_32s_128s_7s_17, 31, 0, 52, 1, 0
.	.	. sync_fifo_32s_128s_7s_17_0, 30, 0, 52, 1, 0
.	.	. sync_fifo_32s_128s_7s_17_1, 28, 0, 48, 1, 0
.	.	. sync_fifo_32s_128s_7s_17_10, 28, 0, 16, 1, 0
.	.	. sync_fifo_32s_128s_7s_17_11, 69, 0, 46, 1, 0
.	.	. sync_fifo_32s_128s_7s_17_12, 33, 0, 16, 1, 0
.	.	. sync_fifo_32s_128s_7s_17_2, 29, 0, 56, 1, 0
.	.	. sync_fifo_32s_128s_7s_17_3, 32, 0, 51, 1, 0
.	.	. sync_fifo_32s_128s_7s_17_4, 33, 0, 56, 1, 0
.	.	. sync_fifo_32s_128s_7s_17_5, 34, 0, 44, 1, 0
.	.	. sync_fifo_32s_128s_7s_17_6, 34, 0, 56, 1, 0
.	.	. sync_fifo_32s_128s_7s_17_7, 30, 0, 51, 1, 0
.	.	. sync_fifo_32s_128s_7s_17_8, 33, 0, 51, 1, 0
.	.	. sync_fifo_32s_128s_7s_17_9, 33, 0, 44, 1, 0
.	.	. sync_fifo_32s_128s_7s_2, 85, 0, 73, 1, 0
.	. sync_fifo_32s_128s_7s, 87, 0, 73, 1, 0
.	. sync_fifo_32s_128s_7s_0, 86, 0, 72, 1, 0
.	. sync_fifo_64s_128s_7s, 28, 0, 106, 1, 0
